record_id,municipality_id,official_psgc_code,municipality,category,subcategory,official_name,alternate_or_local_name,barangay,complete_address,latitude,longitude,map_link,short_description,full_description,key_features,activities_available,products_or_services_offered,amenities,operating_status,operating_days,opening_time,closing_time,seasonal_availability,entrance_fee,price_range,other_fees,contact_person_publicly_listed,telephone_number,mobile_number,email_address,official_website,official_social_media_page,booking_link,accessibility_information,parking_availability,public_transportation_access,recommended_visit_duration,best_time_to_visit,safety_or_travel_advisory,tourism_accreditation_or_registration,primary_source,secondary_verification_source,date_accessed,date_information_last_confirmed,verification_status,confidence_level,photo_availability,cover_photo_id,application_page_route,notes,source_ids,source_id
MADIA-CAR-FAC-001,MADIA-MUN-CAR,0501711000,Caramoan,Municipal or Emergency Facility,Municipal government,Caramoan Municipal Hall,,Not publicly available,Caramoan town center – exact address pending,,,,Government and visitor coordination point; exact public contacts and office hours require official confirmation.,"Government and visitor coordination point; exact public contacts and office hours require official confirmation. This record is retained in MADIA sa Partido as a working entry. Exact coordinates, access, operating status, fees, schedules, safety, accessibility, contacts, and current visitor conditions must be confirmed before unrestricted public display.",,,,,Requires confirmation,Not publicly available,,,Requires confirmation,Not publicly available,Not publicly available,Not publicly available,,,,,,,,Not publicly available,Not publicly available,Requires confirmation,Not publicly available,Requires local confirmation,"Check current LGU, weather, sea-travel, and site advisories before visiting.",Not publicly available,,,2026-06-29,,PARTIALLY VERIFIED,Medium,Lead only,,/municipalities/caramoan/caramoan-municipal-hall,"Confirm address, coordinates, switchboard and accessibility.",Official LGU source pending,
MADIA-CAR-FAC-002,MADIA-MUN-CAR,0501711000,Caramoan,Municipal or Emergency Facility,Tourism office,Caramoan Municipal Tourism Office,,Not publicly available,Municipal hall area – confirm,,,,"Primary proposed contact for visitor information, operator validation, fees, attractions and local tourism advisories.","Primary proposed contact for visitor information, operator validation, fees, attractions and local tourism advisories. This record is retained in MADIA sa Partido as a working entry. Exact coordinates, access, operating status, fees, schedules, safety, accessibility, contacts, and current visitor conditions must be confirmed before unrestricted public display.",,,,,Requires confirmation,Not publicly available,,,Requires confirmation,Not publicly available,Not publicly available,Not publicly available,,,,,,,,Not publicly available,Not publicly available,Requires confirmation,Not publicly available,Requires local confirmation,"Check current LGU, weather, sea-travel, and site advisories before visiting.",Not publicly available,,,2026-06-29,,PARTIALLY VERIFIED,Medium,Lead only,,/municipalities/caramoan/caramoan-municipal-tourism-office,"Obtain public phone, email, office hours and responsible officer.",Official LGU source pending,
MADIA-CAR-FAC-003,MADIA-MUN-CAR,0501711000,Caramoan,Municipal or Emergency Facility,Port / transport facility,Guijalo Port / Caramoan Feeder Port,,Not publicly available,Guijalo,,,,"Main port facility lead for passenger arrivals and marine access; current authority, services and schedules require verification.","Main port facility lead for passenger arrivals and marine access; current authority, services and schedules require verification. This record is retained in MADIA sa Partido as a working entry. Exact coordinates, access, operating status, fees, schedules, safety, accessibility, contacts, and current visitor conditions must be confirmed before unrestricted public display.",,,,,Requires confirmation,Not publicly available,,,Requires confirmation,Not publicly available,Not publicly available,Not publicly available,,,,,,,,Not publicly available,Not publicly available,Requires confirmation,Not publicly available,Requires local confirmation,"Check current LGU, weather, sea-travel, and site advisories before visiting.",Not publicly available,,,2026-06-29,,PARTIALLY VERIFIED,Medium,Lead only,,/municipalities/caramoan/guijalo-port-caramoan-feeder-port,"Confirm official name, PPA/municipal authority, contacts, fees and operating hours.",Port authority source pending,
MADIA-CAR-FAC-004,MADIA-MUN-CAR,0501711000,Caramoan,Municipal or Emergency Facility,Rural health unit,Caramoan Rural Health Unit,,Not publicly available,Caramoan – exact address pending,,,,"Government health facility confirmed in a Department of Health registry; traveler-facing services, hours and emergency contacts remain to be validated.","Government health facility confirmed in a Department of Health registry; traveler-facing services, hours and emergency contacts remain to be validated. This record is retained in MADIA sa Partido as a working entry. Exact coordinates, access, operating status, fees, schedules, safety, accessibility, contacts, and current visitor conditions must be confirmed before unrestricted public display.",,,,,Requires confirmation,Not publicly available,,,Requires confirmation,Not publicly available,Not publicly available,Not publicly available,,,,,https://ntp.doh.gov.ph/view-facility/?id=2424,,,Not publicly available,Not publicly available,Requires confirmation,Not publicly available,Requires local confirmation,"Check current LGU, weather, sea-travel, and site advisories before visiting.",Not publicly available,https://ntp.doh.gov.ph/view-facility/?id=2424,,2026-06-29,,PARTIALLY VERIFIED,High,Lead only,,/municipalities/caramoan/caramoan-rural-health-unit,"Confirm exact address, coordinates, public contact and emergency capability.",SRC-CAR-016,
MADIA-CAR-FAC-005,MADIA-MUN-CAR,0501711000,Caramoan,Municipal or Emergency Facility,Police station,Caramoan Municipal Police Station,,Not publicly available,Confirm,,,,"Traveler-safety facility lead requiring official address, hotline and operating information.","Traveler-safety facility lead requiring official address, hotline and operating information. This record is retained in MADIA sa Partido as a working entry. Exact coordinates, access, operating status, fees, schedules, safety, accessibility, contacts, and current visitor conditions must be confirmed before unrestricted public display.",,,,,Requires confirmation,Not publicly available,,,Requires confirmation,Not publicly available,Not publicly available,Not publicly available,,,,,,,,Not publicly available,Not publicly available,Requires confirmation,Not publicly available,Requires local confirmation,"Check current LGU, weather, sea-travel, and site advisories before visiting.",Not publicly available,,,2026-06-29,,UNVERIFIED,Low,Lead only,,/municipalities/caramoan/caramoan-municipal-police-station,Obtain official public contact and coordinates.,Official PNP source pending,
MADIA-CAR-FAC-006,MADIA-MUN-CAR,0501711000,Caramoan,Municipal or Emergency Facility,Fire station,Caramoan Fire Station,,Not publicly available,Confirm,,,,"Emergency-response facility lead requiring official address, hotline and service confirmation.","Emergency-response facility lead requiring official address, hotline and service confirmation. This record is retained in MADIA sa Partido as a working entry. Exact coordinates, access, operating status, fees, schedules, safety, accessibility, contacts, and current visitor conditions must be confirmed before unrestricted public display.",,,,,Requires confirmation,Not publicly available,,,Requires confirmation,Not publicly available,Not publicly available,Not publicly available,,,,,,,,Not publicly available,Not publicly available,Requires confirmation,Not publicly available,Requires local confirmation,"Check current LGU, weather, sea-travel, and site advisories before visiting.",Not publicly available,,,2026-06-29,,UNVERIFIED,Low,Lead only,,/municipalities/caramoan/caramoan-fire-station,Obtain official public contact and coordinates.,Official BFP source pending,
MADIA-CAR-FAC-007,MADIA-MUN-CAR,0501711000,Caramoan,Municipal or Emergency Facility,Disaster risk reduction / rescue,Caramoan MDRRMO / Rescue Office,,Not publicly available,Confirm,,,,"Priority traveler-safety contact for weather, marine incidents, evacuations and local emergencies.","Priority traveler-safety contact for weather, marine incidents, evacuations and local emergencies. This record is retained in MADIA sa Partido as a working entry. Exact coordinates, access, operating status, fees, schedules, safety, accessibility, contacts, and current visitor conditions must be confirmed before unrestricted public display.",,,,,Requires confirmation,Not publicly available,,,Requires confirmation,Not publicly available,Not publicly available,Not publicly available,,,,,,,,Not publicly available,Not publicly available,Requires confirmation,Not publicly available,Requires local confirmation,"Check current LGU, weather, sea-travel, and site advisories before visiting.",Not publicly available,,,2026-06-29,,UNVERIFIED,Low,Lead only,,/municipalities/caramoan/caramoan-mdrrmo-rescue-office,"Obtain hotline, office location, service scope and current protocols.",Official LGU source pending,
MADIA-CAR-FAC-008,MADIA-MUN-CAR,0501711000,Caramoan,Municipal or Emergency Facility,Market / transport facility,Caramoan Public Market and Transport Terminal,,Not publicly available,Town center – confirm,,,,"Visitor-support facility lead for local transport, food and supplies; exact identity, location and hours require verification.","Visitor-support facility lead for local transport, food and supplies; exact identity, location and hours require verification. This record is retained in MADIA sa Partido as a working entry. Exact coordinates, access, operating status, fees, schedules, safety, accessibility, contacts, and current visitor conditions must be confirmed before unrestricted public display.",,,,,Requires confirmation,Not publicly available,,,Requires confirmation,Not publicly available,Not publicly available,Not publicly available,,,,,,,,Not publicly available,Not publicly available,Requires confirmation,Not publicly available,Requires local confirmation,"Check current LGU, weather, sea-travel, and site advisories before visiting.",Not publicly available,,,2026-06-29,,UNVERIFIED,Low,Lead only,,/municipalities/caramoan/caramoan-public-market-and-transport-terminal,Confirm whether market and terminal are separate records.,Official LGU source pending,
MADIA-GAR-FAC-001,MADIA-MUN-GAR,0501714000,Garchitorena,Municipal or Emergency Facility,Public Facility,Garchitorena Municipal Hall,,Not publicly available,Not publicly available,,,,"A visitor-support facility record for municipal hall services in Garchitorena; exact address, hotline and operating details require confirmation.","A visitor-support facility record for municipal hall services in Garchitorena; exact address, hotline and operating details require confirmation. This entry is part of MADIA sa Partido’s preliminary working inventory for Garchitorena. Exact coordinates, access arrangements, operating status, fees, schedules, accessibility, safety information, and current contact details must be confirmed from the responsible LGU office, establishment, or operator before public display.",,,,,Requires confirmation,Not publicly available,,,Requires confirmation,Not publicly available,Not publicly available,Not publicly available,,,,,,,,Not publicly available,Not publicly available,Requires confirmation,Not publicly available,Requires local confirmation,"Check current LGU, weather, sea-travel, and site advisories before visiting.",Not publicly available,https://partidodevelopmentadministration.gov.ph/garchitorena/,,2026-06-29,,UNVERIFIED,Low,Lead only,,/municipalities/garchitorena/garchitorena-municipal-hall,,,MADIA-SRC-001
MADIA-GAR-FAC-002,MADIA-MUN-GAR,0501714000,Garchitorena,Municipal or Emergency Facility,Public Facility,Garchitorena Rural Health Unit,,Not publicly available,Not publicly available,,,,"A visitor-support facility record for rural health unit services in Garchitorena; exact address, hotline and operating details require confirmation.","A visitor-support facility record for rural health unit services in Garchitorena; exact address, hotline and operating details require confirmation. This entry is part of MADIA sa Partido’s preliminary working inventory for Garchitorena. Exact coordinates, access arrangements, operating status, fees, schedules, accessibility, safety information, and current contact details must be confirmed from the responsible LGU office, establishment, or operator before public display.",,,,,Requires confirmation,Not publicly available,,,Requires confirmation,Not publicly available,Not publicly available,Not publicly available,,,,,,,,Not publicly available,Not publicly available,Requires confirmation,Not publicly available,Requires local confirmation,"Check current LGU, weather, sea-travel, and site advisories before visiting.",Not publicly available,https://partidodevelopmentadministration.gov.ph/garchitorena/,,2026-06-29,,UNVERIFIED,Low,Lead only,,/municipalities/garchitorena/garchitorena-rural-health-unit,,,MADIA-SRC-001
