record_id,municipality_id,official_psgc_code,municipality,category,subcategory,official_name,alternate_or_local_name,barangay,complete_address,latitude,longitude,map_link,short_description,full_description,key_features,activities_available,products_or_services_offered,amenities,operating_status,operating_days,opening_time,closing_time,seasonal_availability,entrance_fee,price_range,other_fees,contact_person_publicly_listed,telephone_number,mobile_number,email_address,official_website,official_social_media_page,booking_link,accessibility_information,parking_availability,public_transportation_access,recommended_visit_duration,best_time_to_visit,safety_or_travel_advisory,tourism_accreditation_or_registration,primary_source,secondary_verification_source,date_accessed,date_information_last_confirmed,verification_status,confidence_level,photo_availability,cover_photo_id,application_page_route,notes,source_ids,source_id
MADIA-CAR-SRV-001,MADIA-MUN-CAR,0501711000,Caramoan,Tourism Service,Tourist information / coordination,Caramoan Municipal Tourism Office,,Not publicly available,Municipal hall area – confirm,,,,,"Caramoan Municipal Tourism Office is a preliminary tourism record for Caramoan. This record is retained in MADIA sa Partido as a working entry. Exact coordinates, access, operating status, fees, schedules, safety, accessibility, contacts, and current visitor conditions must be confirmed before unrestricted public display.",,,"Visitor information, local coordination, attraction validation, operator registry",,Not publicly confirmed,Not publicly available,,,Requires confirmation,Not publicly available,Not publicly available,Not publicly available,,,Not publicly confirmed,,,,,Not publicly available,Not publicly available,Requires confirmation,Not publicly available,Requires local confirmation,"Check current LGU, weather, sea-travel, and site advisories before visiting.",Not publicly available,,,2026-06-29,,PARTIALLY VERIFIED,Medium,Lead only,,/municipalities/caramoan/caramoan-municipal-tourism-office,"Priority source for fares, guides, boat operators, fees, safety, accommodation and emergency contacts.",Official LGU source still required,
MADIA-CAR-SRV-002,MADIA-MUN-CAR,0501711000,Caramoan,Tourism Service,Boat tour service cluster,Paniman Island-Hopping Boat Services,,Not publicly available,Paniman,,,,,"Paniman Island-Hopping Boat Services is a preliminary tourism record for Caramoan. This record is retained in MADIA sa Partido as a working entry. Exact coordinates, access, operating status, fees, schedules, safety, accessibility, contacts, and current visitor conditions must be confirmed before unrestricted public display.",,,Short and long island-hopping circuits,,Appears active,Not publicly available,,,Requires confirmation,Not publicly available,Not publicly available,Not publicly available,,,Not publicly confirmed,,https://visitcamsur.com/places-to-go/islands,,,Not publicly available,Not publicly available,Requires confirmation,Not publicly available,Requires local confirmation,"Check current LGU, weather, sea-travel, and site advisories before visiting.",Not publicly available,https://visitcamsur.com/places-to-go/islands,,2026-06-29,,PARTIALLY VERIFIED,Medium,Lead only,,/municipalities/caramoan/paniman-island-hopping-boat-services,Create individual operator records only after LGU accreditation/permit list is obtained.,SRC-CAR-002; SRC-CAR-003,
MADIA-CAR-SRV-003,MADIA-MUN-CAR,0501711000,Caramoan,Tourism Service,Tour guide service cluster,Caramoan Local Tour Guides,,Not publicly available,Multiple barangays,,,,,"Caramoan Local Tour Guides is a preliminary tourism record for Caramoan. This record is retained in MADIA sa Partido as a working entry. Exact coordinates, access, operating status, fees, schedules, safety, accessibility, contacts, and current visitor conditions must be confirmed before unrestricted public display.",,,"Guided island, viewpoint and community visits",,Appears active,Not publicly available,,,Requires confirmation,Not publicly available,Not publicly available,Not publicly available,,,Not publicly confirmed,,https://visitcamsur.com/see-and-do/activities/water,,,Not publicly available,Not publicly available,Requires confirmation,Not publicly available,Requires local confirmation,"Check current LGU, weather, sea-travel, and site advisories before visiting.",Not publicly available,https://visitcamsur.com/see-and-do/activities/water,,2026-06-29,,PARTIALLY VERIFIED,Low,Lead only,,/municipalities/caramoan/caramoan-local-tour-guides,"Obtain DOT/LGU-accredited guide roster, languages, contact permissions and rates.",SRC-CAR-003,
MADIA-CAR-SRV-004,MADIA-MUN-CAR,0501711000,Caramoan,Tourism Service,Visitor support lead,Guijalo Port Passenger Assistance / Transport Coordination,,Not publicly available,Guijalo,,,,,"Guijalo Port Passenger Assistance / Transport Coordination is a preliminary tourism record for Caramoan. This record is retained in MADIA sa Partido as a working entry. Exact coordinates, access, operating status, fees, schedules, safety, accessibility, contacts, and current visitor conditions must be confirmed before unrestricted public display.",,,Port arrival information and onward transport coordination,,Not publicly confirmed,Not publicly available,,,Requires confirmation,Not publicly available,Not publicly available,Not publicly available,,,Not publicly confirmed,,,,,Not publicly available,Not publicly available,Requires confirmation,Not publicly available,Requires local confirmation,"Check current LGU, weather, sea-travel, and site advisories before visiting.",Not publicly available,,,2026-06-29,,UNVERIFIED,Low,Lead only,,/municipalities/caramoan/guijalo-port-passenger-assistance-transport-coordination,"Identify responsible port authority, information desk and public contact details.",Local confirmation required,
MADIA-GAR-SRV-001,MADIA-MUN-GAR,0501714000,Garchitorena,Tourism Service,Tourism Office,Garchitorena Municipal Tourism Office,,Not publicly available,Not publicly available,,,,"The municipal office expected to coordinate destination information, operator validation and tourism assistance; public contact details require confirmation.","The municipal office expected to coordinate destination information, operator validation and tourism assistance; public contact details require confirmation. This entry is part of MADIA sa Partido’s preliminary working inventory for Garchitorena. Exact coordinates, access arrangements, operating status, fees, schedules, accessibility, safety information, and current contact details must be confirmed from the responsible LGU office, establishment, or operator before public display.",,,,,Requires confirmation,Not publicly available,,,Requires confirmation,Not publicly available,Not publicly available,Not publicly available,,,,,,,,Not publicly available,Not publicly available,Requires confirmation,Not publicly available,Requires local confirmation,"Check current LGU, weather, sea-travel, and site advisories before visiting.",Not publicly available,https://partidodevelopmentadministration.gov.ph/garchitorena/,,2026-06-29,,UNVERIFIED,Low,Lead only,,/municipalities/garchitorena/garchitorena-municipal-tourism-office,,,MADIA-SRC-001
MADIA-GAR-SRV-002,MADIA-MUN-GAR,0501714000,Garchitorena,Tourism Service,Boat / Island-Hopping Service,Garchitorena Local Boat Operators,,Not publicly available,Not publicly available,,,,A working cluster record for local boat services serving islands and coastal sites; an accredited operator roster is still required.,"A working cluster record for local boat services serving islands and coastal sites; an accredited operator roster is still required. This entry is part of MADIA sa Partido’s preliminary working inventory for Garchitorena. Exact coordinates, access arrangements, operating status, fees, schedules, accessibility, safety information, and current contact details must be confirmed from the responsible LGU office, establishment, or operator before public display.",,,,,Requires confirmation,Not publicly available,,,Requires confirmation,Not publicly available,Not publicly available,Not publicly available,,,,,,,,Not publicly available,Not publicly available,Requires confirmation,Not publicly available,Requires local confirmation,"Check current LGU, weather, sea-travel, and site advisories before visiting.",Not publicly available,https://partidodevelopmentadministration.gov.ph/garchitorena/,,2026-06-29,,UNVERIFIED,Low,Lead only,,/municipalities/garchitorena/garchitorena-local-boat-operators,,,MADIA-SRC-001
MADIA-GOA-SRV-001,MADIA-MUN-GOA,0501715000,Goa,Tourism Service,Tourism Office,Goa Municipal Tourism Office,,Not publicly available,Not publicly available,,,,"The municipal tourism coordination office and primary local validation point for destinations, events and visitor services.","The municipal tourism coordination office and primary local validation point for destinations, events and visitor services. This entry is part of MADIA sa Partido’s preliminary working inventory for Goa. Exact coordinates, access arrangements, operating status, fees, schedules, accessibility, safety information, and current contact details must be confirmed from the responsible LGU office, establishment, or operator before public display.",,,,,Requires confirmation,Not publicly available,,,Requires confirmation,Not publicly available,Not publicly available,Not publicly available,,,,,,,,Not publicly available,Not publicly available,Requires confirmation,Not publicly available,Requires local confirmation,"Check current LGU, weather, sea-travel, and site advisories before visiting.",Not publicly available,https://partidodevelopmentadministration.gov.ph/goa/,,2026-06-29,,UNVERIFIED,Low,Lead only,,/municipalities/goa/goa-municipal-tourism-office,,,MADIA-SRC-002
MADIA-GOA-SRV-002,MADIA-MUN-GOA,0501715000,Goa,Tourism Service,Banking / Visitor Support,Goa commercial and banking service cluster,,Not publicly available,Not publicly available,,,,"A visitor-support cluster representing banks, ATMs, pharmacies and other services in Goa’s commercial center; individual establishments require separate records.","A visitor-support cluster representing banks, ATMs, pharmacies and other services in Goa’s commercial center; individual establishments require separate records. This entry is part of MADIA sa Partido’s preliminary working inventory for Goa. Exact coordinates, access arrangements, operating status, fees, schedules, accessibility, safety information, and current contact details must be confirmed from the responsible LGU office, establishment, or operator before public display.",,,,,Requires confirmation,Not publicly available,,,Requires confirmation,Not publicly available,Not publicly available,Not publicly available,,,,,,,,Not publicly available,Not publicly available,Requires confirmation,Not publicly available,Requires local confirmation,"Check current LGU, weather, sea-travel, and site advisories before visiting.",Not publicly available,https://partidodevelopmentadministration.gov.ph/goa/,,2026-06-29,,UNVERIFIED,Low,Lead only,,/municipalities/goa/goa-commercial-and-banking-service-cluster,,,MADIA-SRC-002
MADIA-LAG-SRV-001,MADIA-MUN-LAG,0501717000,Lagonoy,Tourism Service,Tourism Office,Lagonoy Municipal Tourism Office,,Not publicly available,Not publicly available,,,,"The municipal office expected to validate local sites, cave and waterfall access, guides, events and visitor-support information.","The municipal office expected to validate local sites, cave and waterfall access, guides, events and visitor-support information. This entry is part of MADIA sa Partido’s preliminary working inventory for Lagonoy. Exact coordinates, access arrangements, operating status, fees, schedules, accessibility, safety information, and current contact details must be confirmed from the responsible LGU office, establishment, or operator before public display.",,,,,Requires confirmation,Not publicly available,,,Requires confirmation,Not publicly available,Not publicly available,Not publicly available,,,,,,,,Not publicly available,Not publicly available,Requires confirmation,Not publicly available,Requires local confirmation,"Check current LGU, weather, sea-travel, and site advisories before visiting.",Not publicly available,https://partidodevelopmentadministration.gov.ph/lagonoy/,,2026-06-29,,UNVERIFIED,Low,Lead only,,/municipalities/lagonoy/lagonoy-municipal-tourism-office,,,MADIA-SRC-008
MADIA-LAG-SRV-002,MADIA-MUN-LAG,0501717000,Lagonoy,Tourism Service,Guide Service,Lagonoy local nature guides,,Not publicly available,Not publicly available,,,,"A provisional service cluster for waterfall, cave and coastal guides; accredited or authorized guide records remain unavailable.","A provisional service cluster for waterfall, cave and coastal guides; accredited or authorized guide records remain unavailable. This entry is part of MADIA sa Partido’s preliminary working inventory for Lagonoy. Exact coordinates, access arrangements, operating status, fees, schedules, accessibility, safety information, and current contact details must be confirmed from the responsible LGU office, establishment, or operator before public display.",,,,,Requires confirmation,Not publicly available,,,Requires confirmation,Not publicly available,Not publicly available,Not publicly available,,,,,,,,Not publicly available,Not publicly available,Requires confirmation,Not publicly available,Requires local confirmation,"Check current LGU, weather, sea-travel, and site advisories before visiting.",Not publicly available,https://partidodevelopmentadministration.gov.ph/lagonoy/,,2026-06-29,,UNVERIFIED,Low,Lead only,,/municipalities/lagonoy/lagonoy-local-nature-guides,,,MADIA-SRC-008
MADIA-PRE-SRV-001,MADIA-MUN-PRE,0501729000,Presentacion,Tourism Service,Tourism Office,Presentacion Municipal Tourism Office,,Not publicly available,Not publicly available,,,,"The primary local office for validating Aguirangan Island, waterfalls, caves, guides, boat services and visitor information.","The primary local office for validating Aguirangan Island, waterfalls, caves, guides, boat services and visitor information. This entry is part of MADIA sa Partido’s preliminary working inventory for Presentacion. Exact coordinates, access arrangements, operating status, fees, schedules, accessibility, safety information, and current contact details must be confirmed from the responsible LGU office, establishment, or operator before public display.",,,,,Requires confirmation,Not publicly available,,,Requires confirmation,Not publicly available,Not publicly available,Not publicly available,,,,,,,,Not publicly available,Not publicly available,Requires confirmation,Not publicly available,Requires local confirmation,"Check current LGU, weather, sea-travel, and site advisories before visiting.",Not publicly available,https://partidodevelopmentadministration.gov.ph/presentacion/,,2026-06-29,,UNVERIFIED,Low,Lead only,,/municipalities/presentacion/presentacion-municipal-tourism-office,,,MADIA-SRC-013
MADIA-PRE-SRV-002,MADIA-MUN-PRE,0501729000,Presentacion,Tourism Service,Boat / Island Transfer,Aguirangan Island boat operators,,Not publicly available,Not publicly available,,,,"A provisional cluster for island-transfer and tour boats; accredited operators, capacity, rates, landing points and safety procedures require confirmation.","A provisional cluster for island-transfer and tour boats; accredited operators, capacity, rates, landing points and safety procedures require confirmation. This entry is part of MADIA sa Partido’s preliminary working inventory for Presentacion. Exact coordinates, access arrangements, operating status, fees, schedules, accessibility, safety information, and current contact details must be confirmed from the responsible LGU office, establishment, or operator before public display.",,,,,Requires confirmation,Not publicly available,,,Requires confirmation,Not publicly available,Not publicly available,Not publicly available,,,,,,,,Not publicly available,Not publicly available,Requires confirmation,Not publicly available,Requires local confirmation,"Check current LGU, weather, sea-travel, and site advisories before visiting.",Not publicly available,https://partidodevelopmentadministration.gov.ph/presentacion/,,2026-06-29,,UNVERIFIED,Low,Lead only,,/municipalities/presentacion/aguirangan-island-boat-operators,,,MADIA-SRC-013
